Date,Equities,Gold,REITs,Bitcoin
27-05-2015,8334.599609,1185.900024,53.10747147,237.2830048
28-05-2015,8319,1188.099976,53.00153351,237.4080048
29-05-2015,8433.650391,1189.400024,52.39247513,237.095993
01-06-2015,8433.400391,1188.300049,53.0346489,222.9259949
02-06-2015,8236.450195,1194.099976,52.54475784,225.8029938
03-06-2015,8135.100098,1184.699951,51.79003143,225.8739929
04-06-2015,8130.649902,1174.900024,51.69073486,224.3240051
05-06-2015,8114.700195,1167.800049,51.11476135,224.9519958
08-06-2015,8044.149902,1173.199951,51.02209854,228.4889984
09-06-2015,8022.399902,1177.300049,50.65136337,229.0480042
10-06-2015,8124.450195,1186.099976,51.00885773,228.8029938
11-06-2015,7965.350098,1179.900024,51.32001114,229.7050018
12-06-2015,7982.899902,1178.800049,51.27366638,229.9819946
15-06-2015,8013.899902,1185.300049,50.9956131,236.822998
16-06-2015,8047.299805,1180.5,51.40605545,250.8950043
17-06-2015,8091.549805,1176.400024,51.84298706,249.2839966
18-06-2015,8174.600098,1201.5,52.5579834,249.0070038
19-06-2015,8224.950195,1201.5,52.15414429,244.6060028
22-06-2015,8353.099609,1183.699951,51.61790848,246.9900055
23-06-2015,8381.549805,1176.199951,51.18759537,244.2960052
24-06-2015,8360.849609,1172.599976,50.90954971,240.5149994
25-06-2015,8398,1171.5,50.39318085,242.798996
26-06-2015,8381.099609,1172.900024,50.75561523,243.5939941
29-06-2015,8318.400391,1178.5,49.9665184,257.0639954
30-06-2015,8368.5,1171.5,49.94646072,263.071991
01-07-2015,8453.049805,1169,50.76899719,258.6210022
02-07-2015,8444.900391,1163,50.89605331,255.4120026
06-07-2015,8522.150391,1172.900024,51.21700668,269.0299988
07-07-2015,8510.799805,1152.400024,52.01949692,266.2070007
08-07-2015,8363.049805,1163.300049,51.81886292,270.7850037
09-07-2015,8328.549805,1159,51.57144928,269.2279968
10-07-2015,8360.549805,1157.699951,51.99942017,284.8940125
13-07-2015,8459.650391,1155.199951,52.07300186,292.0539856
14-07-2015,8454.099609,1153.300049,52.17996979,287.4639893
15-07-2015,8523.799805,1147.199951,52.26690674,285.82901
16-07-2015,8608.049805,1143.800049,52.68820953,278.0889893
17-07-2015,8609.849609,1131.800049,52.50098419,279.4719849
20-07-2015,8603.450195,1106.699951,52.56115341,278.9809875
21-07-2015,8529.450195,1103.400024,52.4140358,275.8330078
22-07-2015,8633.5,1091.400024,52.64138794,277.2219849
23-07-2015,8589.799805,1094,51.98605728,276.0490112
24-07-2015,8521.549805,1085.599976,52.20672607,288.2780151
27-07-2015,8361,1096.5,52.30034637,293.6239929
28-07-2015,8337,1096.300049,52.33378601,294.427002
29-07-2015,8375.049805,1092.699951,52.67482758,289.5899963
30-07-2015,8421.799805,1088.400024,52.4140358,287.7219849
31-07-2015,8532.849609,1094.900024,52.82863998,284.6499939
03-08-2015,8543.049805,1089.400024,53.15631866,281.2269897
04-08-2015,8516.900391,1090.699951,52.76845551,285.2179871
05-08-2015,8567.950195,1085.699951,52.42071915,281.8819885
06-08-2015,8588.650391,1090.199951,52.49428177,278.5769958
07-08-2015,8564.599609,1094.099976,52.68820953,279.5849915
10-08-2015,8525.599609,1104.199951,52.52103424,264.4700012
11-08-2015,8462.349609,1107.599976,52.86877823,270.3859863
12-08-2015,8349.450195,1123.199951,53.03593826,266.3760071
13-08-2015,8355.849609,1115.699951,53.09613419,264.0799866
14-08-2015,8518.549805,1112.900024,53.38367081,265.6799927
17-08-2015,8477.299805,1118.599976,53.83838654,257.9760132
18-08-2015,8466.549805,1117.099976,53.98550797,211.0789948
19-08-2015,8495.150391,1128.099976,53.66452408,226.6840057
20-08-2015,8372.75,1153,53.2699852,235.3500061
21-08-2015,8299.950195,1159.599976,52.28028488,232.5690002
24-08-2015,7809,1153.400024,49.8327713,210.4949951
25-08-2015,7880.700195,1138.199951,48.46191406,221.6089935
26-08-2015,7791.850098,1124.599976,49.77259827,225.8309937
27-08-2015,7948.950195,1122.400024,50.7355423,224.7689972
28-08-2015,8001.950195,1133.099976,50.66199493,231.3959961
31-08-2015,7971.299805,1131.599976,49.50511169,230.0559998
01-09-2015,7785.850098,1138.699951,48.56221008,228.1210022
02-09-2015,7717,1132.5,49.06377792,229.2839966
03-09-2015,7823,1123.699951,49.1975174,227.1829987
04-09-2015,7655.049805,1120.599976,48.281353,230.2980042
08-09-2015,7688.25,1120.400024,49.01025772,243.6069946
09-09-2015,7818.600098,1102.199951,48.44853973,238.1679993
10-09-2015,7788.100098,1109.5,48.55554581,238.477005
11-09-2015,7789.299805,1103.5,49.48505402,240.1069946
14-09-2015,7872.25,1107.699951,49.51179886,230.6439972
15-09-2015,7829.100098,1102.800049,49.99995804,230.3040009
16-09-2015,7899.149902,1119.199951,50.53495026,229.0910034
18-09-2015,7981.899902,1138.099976,51.02310562,232.9750061
21-09-2015,7977.100098,1133.099976,51.45775986,227.0850067
22-09-2015,7812,1125,50.80912018,230.6179962
23-09-2015,7845.950195,1131.599976,51.12788773,230.2830048
24-09-2015,7868.5,1153.800049,50.64835739,234.529007
28-09-2015,7795.700195,1132,50.06076431,239.1419983
29-09-2015,7843.299805,1127.099976,50.59432602,236.6869965
30-09-2015,7948.899902,1115.5,51.01982498,236.0599976
01-10-2015,7950.899902,1114.199951,51.26972961,237.548996
05-10-2015,8119.299805,1138.099976,52.51247406,240.3829956
06-10-2015,8152.899902,1146.800049,52.39090729,246.0630035
07-10-2015,8177.399902,1149,52.99201202,242.9689941
08-10-2015,8129.350098,1144.699951,53.43778229,242.3040009
09-10-2015,8189.700195,1156.300049,53.34997559,243.9309998
12-10-2015,8143.600098,1164.900024,53.72820282,245.3079987
13-10-2015,8131.700195,1165.800049,53.30945587,249.5079956
14-10-2015,8107.899902,1180.099976,52.91093826,251.9889984
15-10-2015,8179.5,1187.900024,53.6336441,254.3200073
16-10-2015,8238.150391,1183.599976,54.03889465,262.868988
19-10-2015,8275.049805,1173.300049,54.79533005,263.4370117
20-10-2015,8261.650391,1178,54.77507401,269.4630127
21-10-2015,8251.700195,1167.599976,54.5724411,266.2720032
23-10-2015,8295.450195,1163.300049,54.51842117,276.4960022
26-10-2015,8260.549805,1167,54.50490189,285.2999878
27-10-2015,8232.900391,1166.800049,54.48464203,293.7879944
28-10-2015,8171.200195,1177.099976,54.53192902,304.6180115
